component	package	version	namespace	command	capability	ui_status	limitation	custom_changes	scope	cli_source	ui_source
nova	python-openstackclient	7.4.0	openstack.compute.v2	openstack hypervisor list	Таблица Hypervisors показывает hosts, тип, RAM, local storage, число instances.	yes	Основная операция представлена; действуют права и допустимое состояние ресурса.	—	Основной	https://github.com/openstack/python-openstackclient/blob/7.4.0/openstackclient/compute/v2/hypervisor.py#L70	https://github.com/openstack/horizon/blob/25.3.0/openstack_dashboard/dashboards/admin/hypervisors/tables.py#L21
nova	python-openstackclient	7.4.0	openstack.compute.v2	openstack hypervisor show	Строка с ресурсами hypervisor и переход к списку его instances.	partial	DetailView получает hypervisor_search(..., servers=True); не полный hypervisor show с CPU info, uptime и всеми атрибутами.	—	Основной	https://github.com/openstack/python-openstackclient/blob/7.4.0/openstackclient/compute/v2/hypervisor.py#L154	https://github.com/openstack/horizon/blob/25.3.0/openstack_dashboard/dashboards/admin/hypervisors/tables.py#L21; https://github.com/openstack/horizon/blob/25.3.0/openstack_dashboard/dashboards/admin/hypervisors/views.py#L48
nova	python-openstackclient	7.4.0	openstack.compute.v2	openstack hypervisor stats show	На странице Hypervisors выводится сводная статистика ресурсов.	yes	Основная операция представлена; действуют права и допустимое состояние ресурса.	—	Основной	https://github.com/openstack/python-openstackclient/blob/7.4.0/openstackclient/compute/v2/hypervisor_stats.py#L39	https://github.com/openstack/horizon/blob/25.3.0/openstack_dashboard/dashboards/admin/hypervisors/views.py#L28; https://github.com/openstack/horizon/blob/25.3.0/openstack_dashboard/api/nova.py#L817
nova	python-openstackclient	7.4.0	openstack.compute.v2	openstack keypair create	Create Key Pair генерирует ключ выбранного типа; Import Key Pair принимает public key.	partial	Операции для текущего пользователя; нет CLI --user для другого пользователя.	—	Основной	https://github.com/openstack/python-openstackclient/blob/7.4.0/openstackclient/compute/v2/keypair.py#L75	https://github.com/openstack/horizon/blob/25.3.0/openstack_dashboard/dashboards/project/key_pairs/tables.py#L71; https://github.com/openstack/horizon/blob/25.3.0/openstack_dashboard/dashboards/project/key_pairs/tables.py#L85; https://github.com/openstack/horizon/blob/25.3.0/openstack_dashboard/dashboards/project/static/dashboard/project/workflow/launch-instance/keypair/create-keypair.controller.js#L71; https://github.com/openstack/horizon/blob/25.3.0/openstack_dashboard/dashboards/project/key_pairs/forms.py#L39
nova	python-openstackclient	7.4.0	openstack.compute.v2	openstack keypair delete	Delete Key Pair для ключей текущего пользователя.	partial	Нет --user для другого пользователя.	—	Основной	https://github.com/openstack/python-openstackclient/blob/7.4.0/openstackclient/compute/v2/keypair.py#L210	https://github.com/openstack/horizon/blob/25.3.0/openstack_dashboard/dashboards/project/key_pairs/tables.py#L28; https://github.com/openstack/horizon/blob/25.3.0/openstack_dashboard/dashboards/project/key_pairs/tables.py#L133
nova	python-openstackclient	7.4.0	openstack.compute.v2	openstack keypair list	Список ключей текущего пользователя.	partial	Нет --user/--project для административного выбора владельца.	—	Основной	https://github.com/openstack/python-openstackclient/blob/7.4.0/openstackclient/compute/v2/keypair.py#L274	https://github.com/openstack/horizon/blob/25.3.0/openstack_dashboard/dashboards/project/key_pairs/views.py#L37; https://github.com/openstack/horizon/blob/25.3.0/openstack_dashboard/dashboards/project/key_pairs/tables.py#L120
nova	python-openstackclient	7.4.0	openstack.compute.v2	openstack keypair show	DetailView показывает ключ, fingerprint/public key.	partial	Нет --user для другого пользователя.	—	Основной	https://github.com/openstack/python-openstackclient/blob/7.4.0/openstackclient/compute/v2/keypair.py#L386	https://github.com/openstack/horizon/blob/25.3.0/openstack_dashboard/dashboards/project/key_pairs/views.py#L75
nova	python-openstackclient	7.4.0	openstack.compute.v2	openstack server add fixed ip	Attach Interface: network и необязательный fixed IP; создаётся интерфейс.	partial	Нет --tag интерфейса. В 7.4.0 CLI тоже использует create_server_interface, а не legacy addFixedIp.	—	Основной	https://github.com/openstack/python-openstackclient/blob/7.4.0/openstackclient/compute/v2/server.py#L369	https://github.com/openstack/horizon/blob/25.3.0/openstack_dashboard/dashboards/project/instances/forms.py#L291; https://github.com/openstack/horizon/blob/25.3.0/openstack_dashboard/dashboards/project/instances/forms.py#L352; https://github.com/openstack/horizon/blob/25.3.0/openstack_dashboard/dashboards/project/instances/tables.py#L966
nova	python-openstackclient	7.4.0	openstack.compute.v2	openstack server add floating ip	Associate Floating IP связывает адрес с портом/fixed IP instance.	yes	При Neutron операция проходит через networking API.	—	Основной	https://github.com/openstack/python-openstackclient/blob/7.4.0/openstackclient/compute/v2/server.py#L467	https://github.com/openstack/horizon/blob/25.3.0/openstack_dashboard/dashboards/project/instances/tables.py#L680
nova	python-openstackclient	7.4.0	openstack.compute.v2	openstack server add port	Attach Interface по существующему порту.	partial	Нет --tag интерфейса.	—	Основной	https://github.com/openstack/python-openstackclient/blob/7.4.0/openstackclient/compute/v2/server.py#L563	https://github.com/openstack/horizon/blob/25.3.0/openstack_dashboard/dashboards/project/instances/forms.py#L291; https://github.com/openstack/horizon/blob/25.3.0/openstack_dashboard/dashboards/project/instances/forms.py#L352
nova	python-openstackclient	7.4.0	openstack.compute.v2	openstack server add network	Attach Interface по network; порт создаётся при attach.	partial	Нет --tag интерфейса.	—	Основной	https://github.com/openstack/python-openstackclient/blob/7.4.0/openstackclient/compute/v2/server.py#L617	https://github.com/openstack/horizon/blob/25.3.0/openstack_dashboard/dashboards/project/instances/forms.py#L291; https://github.com/openstack/horizon/blob/25.3.0/openstack_dashboard/dashboards/project/instances/forms.py#L352
nova	python-openstackclient	7.4.0	openstack.compute.v2	openstack server add security group	Edit Security Groups добавляет SG; при Neutron обновляются security groups портов instance.	yes	Основная операция представлена; действуют права и допустимое состояние ресурса.	—	Основной	https://github.com/openstack/python-openstackclient/blob/7.4.0/openstackclient/compute/v2/server.py#L672	https://github.com/openstack/horizon/blob/25.3.0/openstack_dashboard/dashboards/project/instances/tables.py#L500; https://github.com/openstack/horizon/blob/25.3.0/openstack_dashboard/dashboards/project/instances/workflows/update_instance.py#L26
nova	python-openstackclient	7.4.0	openstack.compute.v2	openstack server add volume	Attach Volume подключает выбранный том.	partial	Нет tag/delete-on-termination для attachment; device поле скрыто.	—	Основной	https://github.com/openstack/python-openstackclient/blob/7.4.0/openstackclient/compute/v2/server.py#L741	https://github.com/openstack/horizon/blob/25.3.0/openstack_dashboard/dashboards/project/instances/forms.py#L173; https://github.com/openstack/horizon/blob/25.3.0/openstack_dashboard/dashboards/project/instances/forms.py#L208; https://github.com/openstack/horizon/blob/25.3.0/openstack_dashboard/dashboards/project/instances/tables.py#L933
nova	python-openstackclient	7.4.0	openstack.compute.v2	openstack server create	Launch Instance: источники image/snapshot/volume, flavor, AZ, networks/ports, SG, keypair, user data, config drive, metadata, hints/group и число instances.	partial	REST whitelist не принимает CLI hostname, tags, trusted-image-cert, host/hypervisor-hostname как отдельные параметры; нет полного произвольного block-device CLI.	—	Основной	https://github.com/openstack/python-openstackclient/blob/7.4.0/openstackclient/compute/v2/server.py#L1107	https://github.com/openstack/horizon/blob/25.3.0/openstack_dashboard/dashboards/project/static/dashboard/project/workflow/launch-instance/launch-instance-model.service.js#L176; https://github.com/openstack/horizon/blob/25.3.0/openstack_dashboard/api/rest/nova.py#L315; https://github.com/openstack/horizon/blob/25.3.0/openstack_dashboard/dashboards/project/instances/tables.py#L418
nova	python-openstackclient	7.4.0	openstack.compute.v2	openstack server delete	Delete Instance; в admin доступны экземпляры разных projects.	partial	Нет явного force-delete режима (--force).	—	Основной	https://github.com/openstack/python-openstackclient/blob/7.4.0/openstackclient/compute/v2/server.py#L2204	https://github.com/openstack/horizon/blob/25.3.0/openstack_dashboard/dashboards/project/instances/tables.py#L86; https://github.com/openstack/horizon/blob/25.3.0/openstack_dashboard/dashboards/admin/instances/tables.py#L193
nova	python-openstackclient	7.4.0	openstack.compute.v2	openstack server dump create	Нет Trigger Crash Dump действия.	no	Snapshot и console log не заменяют guest crash dump.	—	Основной	https://github.com/openstack/python-openstackclient/blob/7.4.0/openstackclient/compute/v2/server.py#L2175	https://github.com/openstack/horizon/blob/25.3.0/openstack_dashboard/dashboards/project/instances/tables.py#L1295; https://github.com/openstack/horizon/blob/25.3.0/openstack_dashboard/dashboards/admin/instances/tables.py#L196
nova	python-openstackclient	7.4.0	openstack.compute.v2	openstack server evacuate	Evacuate Host вызывает evacuate для экземпляров выбранного хоста; target/shared-storage доступны.	partial	UI действует на host, не на выбранную отдельную VM; нет CLI --password.	N1	Основной	https://github.com/openstack/python-openstackclient/blob/7.4.0/openstackclient/compute/v2/server.py#L3798	https://github.com/openstack/horizon/blob/25.3.0/openstack_dashboard/dashboards/admin/hypervisors/compute/tables.py#L25; https://github.com/openstack/horizon/blob/25.3.0/openstack_dashboard/dashboards/admin/hypervisors/compute/forms.py#L23; https://github.com/openstack/horizon/blob/25.3.0/openstack_dashboard/api/nova.py#L827
nova	python-openstackclient	7.4.0	openstack.compute.v2	openstack server list	Списки instances в Project и Admin.	partial	Нет режима CLI --deleted для инвентаризации удалённых серверов; остальные CLI фильтры шире UI.	—	Основной	https://github.com/openstack/python-openstackclient/blob/7.4.0/openstackclient/compute/v2/server.py#L2306	https://github.com/openstack/horizon/blob/25.3.0/openstack_dashboard/dashboards/project/instances/tables.py#L1232; https://github.com/openstack/horizon/blob/25.3.0/openstack_dashboard/dashboards/admin/instances/tables.py#L129
nova	python-openstackclient	7.4.0	openstack.compute.v2	openstack server lock	Lock Instance.	partial	Нет reason из CLI --reason.	—	Основной	https://github.com/openstack/python-openstackclient/blob/7.4.0/openstackclient/compute/v2/server.py#L3100	https://github.com/openstack/horizon/blob/25.3.0/openstack_dashboard/dashboards/project/instances/tables.py#L869
nova	python-openstackclient	7.4.0	openstack.compute.v2	openstack server migrate	Admin: cold Migrate и Live Migrate; live выбирает host, block-migration/disk-over-commit.	partial	Cold migrate не принимает target host; в API adapter вызов без host.	N1	Основной	https://github.com/openstack/python-openstackclient/blob/7.4.0/openstackclient/compute/v2/server.py#L3158	https://github.com/openstack/horizon/blob/25.3.0/openstack_dashboard/dashboards/admin/instances/tables.py#L49; https://github.com/openstack/horizon/blob/25.3.0/openstack_dashboard/dashboards/admin/instances/forms.py#L28; https://github.com/openstack/horizon/blob/25.3.0/openstack_dashboard/api/nova.py#L605
nova	python-openstackclient	7.4.0	openstack.compute.v2	openstack server migrate confirm	Confirm Resize/Migrate подтверждает операцию в VERIFY_RESIZE.	yes	migrate confirm — deprecated alias; все варианты наследуют тот же CLI ResizeConfirm.	N1	Основной	https://github.com/openstack/python-openstackclient/blob/7.4.0/openstackclient/compute/v2/server.py#L4343	https://github.com/openstack/horizon/blob/25.3.0/openstack_dashboard/dashboards/project/instances/tables.py#L603; https://github.com/openstack/horizon/blob/25.3.0/openstack_dashboard/dashboards/admin/instances/tables.py#L196
nova	python-openstackclient	7.4.0	openstack.compute.v2	openstack server migrate revert	Revert Resize/Migrate откатывает операцию в VERIFY_RESIZE.	yes	migrate revert — deprecated alias; все варианты наследуют тот же CLI ResizeRevert.	N1	Основной	https://github.com/openstack/python-openstackclient/blob/7.4.0/openstackclient/compute/v2/server.py#L4391	https://github.com/openstack/horizon/blob/25.3.0/openstack_dashboard/dashboards/project/instances/tables.py#L623; https://github.com/openstack/horizon/blob/25.3.0/openstack_dashboard/dashboards/admin/instances/tables.py#L196
nova	python-openstackclient	7.4.0	openstack.compute.v2	openstack server migration confirm	Confirm Resize/Migrate подтверждает операцию в VERIFY_RESIZE.	yes	Основная операция представлена; действуют права и допустимое состояние ресурса.	N1	Основной	https://github.com/openstack/python-openstackclient/blob/7.4.0/openstackclient/compute/v2/server.py#L4356	https://github.com/openstack/horizon/blob/25.3.0/openstack_dashboard/dashboards/project/instances/tables.py#L603; https://github.com/openstack/horizon/blob/25.3.0/openstack_dashboard/dashboards/admin/instances/tables.py#L196
nova	python-openstackclient	7.4.0	openstack.compute.v2	openstack server migration revert	Revert Resize/Migrate откатывает операцию в VERIFY_RESIZE.	yes	Основная операция представлена; действуют права и допустимое состояние ресурса.	N1	Основной	https://github.com/openstack/python-openstackclient/blob/7.4.0/openstackclient/compute/v2/server.py#L4404	https://github.com/openstack/horizon/blob/25.3.0/openstack_dashboard/dashboards/project/instances/tables.py#L623; https://github.com/openstack/horizon/blob/25.3.0/openstack_dashboard/dashboards/admin/instances/tables.py#L196
nova	python-openstackclient	7.4.0	openstack.compute.v2	openstack server pause	Pause Instance.	yes	Основная операция представлена; действуют права и допустимое состояние ресурса.	—	Основной	https://github.com/openstack/python-openstackclient/blob/7.4.0/openstackclient/compute/v2/server.py#L3340	https://github.com/openstack/horizon/blob/25.3.0/openstack_dashboard/dashboards/project/instances/tables.py#L224; https://github.com/openstack/horizon/blob/25.3.0/openstack_dashboard/dashboards/project/instances/tables.py#L279
nova	python-openstackclient	7.4.0	openstack.compute.v2	openstack server reboot	Soft Reboot и Hard Reboot.	yes	--wait CLI не сопоставляется отдельной кнопке; UI обновляет состояние асинхронно.	—	Основной	https://github.com/openstack/python-openstackclient/blob/7.4.0/openstackclient/compute/v2/server.py#L3363	https://github.com/openstack/horizon/blob/25.3.0/openstack_dashboard/dashboards/project/instances/tables.py#L117; https://github.com/openstack/horizon/blob/25.3.0/openstack_dashboard/dashboards/project/instances/tables.py#L152
nova	python-openstackclient	7.4.0	openstack.compute.v2	openstack server rebuild	Rebuild: image, password, disk partition и description.	partial	Нет preserve-ephemeral, key replacement, user-data replacement, trusted cert, hostname и reimage-boot-volume опций.	—	Основной	https://github.com/openstack/python-openstackclient/blob/7.4.0/openstackclient/compute/v2/server.py#L3423	https://github.com/openstack/horizon/blob/25.3.0/openstack_dashboard/dashboards/project/instances/forms.py#L39; https://github.com/openstack/horizon/blob/25.3.0/openstack_dashboard/dashboards/project/instances/forms.py#L104
